DATAFLOW;LAST UPDATE;freq;cons_fp;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2016;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2017;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2018;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2019;123;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2020;119;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DE;2021;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2012;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2013;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2014;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2015;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2016;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2017;116;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2018;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2019;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2020;114;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;DK;2021;118;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2011;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2012;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2013;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2014;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2015;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2016;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2017;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2018;106;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2019;107;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2020;103;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EE;2021;95;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2011;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2012;92;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2013;89;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2014;87;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2015;86;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2016;86;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2017;88;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2018;95;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2019;94;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2020;85;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EL;2021;93;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2011;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2012;98;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2013;97;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2014;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2015;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2016;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2017;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2018;109;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2019;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2020;104;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;ES;2021;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2010;100;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2011;99;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2012;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2013;101;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2014;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2015;102;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2016;105;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2017;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2018;110;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2019;117;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2020;113;
ESTAT:CEI_GSR010(1.0);04.05.2023 23:00;A;AC;I10;EU27_2020;2021;108;
